year,month,spread_IT,spread_GR,spread_ES,spread_PT
1990,1,,,7.8049998,
1990,2,,,6.9250002,
1990,3,,,6.855,
1990,4,,,6.7375002,
1990,5,,,6.7849998,
1990,6,,,6.6675,
1990,7,,,6.9549999,
1990,8,,,6.5025001,
1990,9,,,6.395,
1990,10,,,6.4324999,
1990,11,,,6.5675001,
1990,12,,,6.6550002,
1991,1,,,6.5725002,
1991,2,,,7.1500001,
1991,3,5.3395,,7.0725002,
1991,4,5.0755,,7.1424999,
1991,5,4.665,,7.105,
1991,6,4.6865001,,7.0925002,
1991,7,4.7045002,,6.8674998,
1991,8,4.928,,6.98,
1991,9,4.5619998,,7.0450001,
1991,10,4.4435,,7.1525002,
1991,11,4.5929999,,3.1422,
1991,12,4.7395,,3.1069117,
1992,1,4.7294998,,2.9790556,
1992,2,4.6880002,,2.8722105,
1992,3,4.5475001,,2.7686906,
1992,4,4.6550002,,2.8362999,
1992,5,4.5040002,,2.7717369,
1992,6,5.0345001,,3.2732728,
1992,7,5.5050001,,3.7024348,
1992,8,5.6389999,,4.1828094,
1992,9,6.4604998,,4.9930453,
1992,10,6.9664998,,5.5469761,
1992,11,6.1059999,,5.18045,
1992,12,6.3390002,,5.2128,
1993,1,6.2975001,,5.022079,
1993,2,6.1570001,,4.5264502,
1993,3,6.2645001,,4.712409,
1993,4,6.4295001,,4.8081002,
1993,5,5.6329999,,4.387619,
1993,6,4.8655,,3.7599092,
1993,7,4.4895,,3.6115,4.0625
1993,8,3.3915,,3.108881,3.9974999
1993,9,3.279,,2.9032726,3.54
1993,10,3.03,,2.7026,3.2850001
1993,11,3.3505001,,2.5785501,3.4075
1993,12,3.1029999,,2.4506667,3.3599999
1994,1,2.8559999,,2.17065,3.115
1994,2,2.632,,1.946,2.4449999
1994,3,3.0999999,,2.482409,2.625
1994,4,2.4400001,,2.4523001,2.6530001
1994,5,2.7075,,2.8847382,3.2965
1994,6,3.424619,,3.2310281,3.7876191
1994,7,3.8718095,,3.6921594,4.4338098
1994,8,4.3684349,,3.5884347,4.3304348
1994,9,4.4215455,,3.7061169,4.2345452
1994,10,4.5295,,3.59375,4.0485001
1994,11,4.5315714,,3.6935189,4.0185714
1994,12,4.7350478,,3.919416,4.1390476
1995,1,4.7750907,,4.2663288,4.1940908
1995,2,4.9679999,,4.1719499,4.276
1995,3,6.1756086,,4.9835176,4.7026086
1995,4,6.3166666,,5.0032778,5.0816665
1995,5,5.4366193,,4.5490189,5.0476189
1995,6,5.5999999,,4.754591,5.1069999
1995,7,5.3496189,,4.4716191,4.8276191
1995,8,4.9099131,,4.2249584,4.5639129
1995,9,4.9587617,,4.2173333,4.5647621
1995,10,5.3967619,,4.3280954,4.6547618
1995,11,5.2861819,,4.1990318,4.3981819
1995,12,5.0962629,,3.8749855,3.9552631
1996,1,4.5447273,,3.5770454,3.5527272
1996,2,4.3147144,,3.5003333,3.2457142
1996,3,4.2427621,,3.4480619,3.0147619
1996,4,3.9619999,,2.9460001,2.6830001
1996,5,3.25,,2.7246499,2.5239999
1996,6,3.0110526,,2.5498025,2.3210526
1996,7,2.9493043,,2.297174,2.2313044
1996,8,3.1817272,,2.5594416,2.4077272
1996,9,2.9413333,,2.2090476,2.0933332
1996,10,2.2243636,,1.7514941,1.5813637
1996,11,1.8334762,,1.4825761,1.3104762
1996,12,1.775,,1.2073684,1.16
1997,1,1.5709091,,1.0272424,.91590911
1997,2,1.8185,,1.19635,1.1155
1997,3,2.1537368,,1.3164737,1.1547369
1997,4,1.8701818,,1.0860909,.93318182
1997,5,1.5588889,,.85330993,.72888887
1997,6,1.3474286,3.4314287,.74880952,.69142854
1997,7,.96147823,3.8634782,.65561461,.70347828
1997,8,.99800003,3.96,.64490002,.69
1997,9,.7632727,3.8372726,.49403462,.53727275
1997,10,.61881816,3.7218182,.39703557,.40181819
1997,11,.5765,5.2034998,.40064999,.40349999
1997,12,.41063157,5.1526318,.31625062,.34263158
1998,1,.32161903,5.9176192,.28466904,.28761905
1998,2,.38600001,6.0409999,.2463,.331
1998,3,.29845455,4.3704543,.18631169,.35045454
1998,4,.244,3.2079999,.16145,.26800001
1998,5,.24326316,2.8852632,.16536842,.21526316
1998,6,.28049999,2.9414999,.22072728,.2615
1998,7,.2852174,2.9852173,.25465217,.26521739
1998,8,.3617619,3.1347618,.3157143,.33476192
1998,9,.4650909,4.1890907,.41354546,.39909092
1998,10,.42145455,4.3854547,.36340693,.36545455
1998,11,.26352382,3.5295238,.28520802,.30952382
1998,12,.13150001,3.3065,.21214999,.25650001
1999,1,.22,2.598,.17810526,.198
1999,2,.205,2.151,.17325,.171
1999,3,.23317391,1.6621739,.21656522,.20217392
1999,4,.25999999,1.78,.23635,.28
1999,5,.26689473,1.4978948,.26213282,.30789474
1999,6,.25452381,1.3895239,.23961473,.2995238
1999,7,.26163638,1.3936363,.23490909,.31363636
1999,8,.2549091,1.4409091,.29431817,.34090909
1999,9,.24154545,1.2695454,.27440909,.36954546
1999,10,.22861905,1.357619,.27161905,.32761905
1999,11,.206,1.24,.2399091,.31999999
1999,12,.21238095,.93238097,.2192381,.31238094
2000,1,.20847619,1.0604762,.21795239,.27047619
2000,2,.21742857,.98142856,.22290476,.27142859
2000,3,.24395652,.90695649,.21708696,.27695653
2000,4,.24044445,.88444442,.22655556,.29444444
2000,5,.28681818,.84181815,.24840909,.30181819
2000,6,.31863636,.86863637,.2635909,.34863636
2000,7,.32480952,.81380951,.26795238,.34380952
2000,8,.35256523,.82956523,.29015613,.35956523
2000,9,.36866668,.78666669,.29580954,.36666667
2000,10,.37085715,.76285714,.28752381,.37285715
2000,11,.39436364,.71636361,.292,.37636364
2000,12,.40747368,.64947367,.31294736,.38947368
2001,1,.37981817,.5468182,.27372727,.35681817
2001,2,.40650001,.57249999,.33925,.36250001
2001,3,.46227273,.61227274,.37318182,.42227274
2001,4,.45410526,.56210524,.35163158,.44210526
2001,5,.4021818,.49318182,.31636363,.37318182
2001,6,.39899999,.47999999,.32657143,.38
2001,7,.4000909,.50409091,.33195454,.37409091
2001,8,.39108697,.50608695,.33186957,.36608696
2001,9,.38299999,.49700001,.32545,.35699999
2001,10,.36443478,.47043478,.30939129,.32043478
2001,11,.35227272,.45227271,.31299999,.31227273
2001,12,.31111765,.39411765,.23189543,.27411765
2002,1,.27927274,.36727273,.1825909,.21727273
2002,2,.27950001,.39050001,.18695,.2305
2002,3,.25,.34900001,.1753,.229
2002,4,.24876191,.3547619,.18042856,.23476191
2002,5,.23827273,.35227272,.19368182,.23227273
2002,6,.2375,.3425,.21359999,.24250001
2002,7,.24160869,.34260869,.20156522,.25260869
2002,8,.23845455,.36045456,.18818182,.26045454
2002,9,.2327619,.34476191,.19071428,.2447619
2002,10,.29308695,.32608697,.16108696,.23608695
2002,11,.25738096,.28238094,.12466667,.17238095
